experience_years,age,education_level,working_hours,performance_score,projects_completed,salary
12,31,3,52,7,1,104872
8,51,1,40,8,9,89008
14,49,3,47,7,4,114337
12,33,2,47,5,16,109368
0,51,4,35,7,6,72782
24,22,4,50,10,1,135685
6,35,3,38,2,5,62607
8,31,2,51,9,9,91844
23,54,2,52,2,8,110243
0,24,4,50,2,4,53636
11,31,1,35,5,2,83991
7,49,2,40,8,10,84266
23,22,4,45,6,9,139090
10,36,4,40,9,15,129982
18,33,2,51,6,19,130732
16,37,2,38,5,18,123075
7,41,3,48,1,0,55599
2,39,1,48,8,10,77216
2,27,3,54,3,14,73422
0,28,3,42,2,6,66334
4,33,4,36,7,7,79793
9,22,4,39,2,15,95577
6,31,1,38,1,17,71539
8,44,3,44,2,10,76052
6,26,3,54,6,0,76696
8,46,4,37,2,15,85777
7,27,4,50,1,3,76729
11,39,2,44,1,5,74825
1,26,3,49,4,10,64425
0,49,1,38,8,5,61820
15,22,3,35,6,9,113799
22,39,4,49,4,5,113584
22,24,2,44,6,9,122348
23,26,3,54,6,4,130088
4,48,1,52,9,8,79202
2,50,4,50,4,6,69396
11,27,2,43,6,16,106246
7,29,3,53,10,11,105642
21,45,1,51,1,10,110584
2,53,4,44,7,5,81901
0,21,1,53,7,10,61681
2,26,3,42,1,10,63728
4,38,4,53,8,13,108452
14,30,3,39,5,15,111342
13,48,2,36,9,1,100647
2,31,3,49,8,1,84134
0,53,2,51,3,4,59747
4,21,3,44,1,13,80871
22,33,1,36,3,9,110987
13,40,1,43,2,9,79138
6,21,4,36,2,17,100346
8,23,1,52,4,19,87590
14,38,1,46,2,8,90270
14,34,2,49,8,3,99327
9,51,1,54,5,16,87231
12,47,2,40,1,1,79814
18,37,2,52,6,13,118033
6,49,2,47,7,0,66207
16,46,3,38,1,6,104945
19,37,2,46,3,3,92999
3,42,3,43,9,8,90879
4,45,2,36,7,2,82063
22,22,3,50,4,4,112561
6,42,4,35,6,9,92980
12,25,4,38,6,9,105547
14,24,3,49,3,3,90404
10,26,4,54,2,16,101251
3,41,1,35,5,16,68349
12,33,2,54,8,18,108008
6,45,3,49,3,5,75612
18,46,4,37,5,0,109316
21,40,4,47,3,13,131566
1,53,1,52,7,12,70442
9,34,2,47,6,2,74319
12,37,1,44,6,1,79895
24,41,3,54,1,6,109373
20,36,4,41,2,11,110935
5,36,4,42,6,1,84028
11,40,4,35,8,10,116992
11,49,1,52,5,15,89885
19,48,1,46,2,4,84448
10,28,2,52,5,16,97223
22,44,3,46,9,2,132946
24,23,2,54,6,13,133315
6,45,2,43,5,15,88953
0,39,4,36,10,16,98102
0,53,1,48,6,18,77710
24,22,3,38,9,3,137501
24,35,2,49,7,19,133804
19,42,3,51,10,19,140219
12,30,4,53,3,8,107775
8,38,2,40,10,10,105512
2,42,1,43,10,4,81020
6,47,2,51,5,10,81758
5,33,4,49,4,12,85473
7,53,2,39,5,1,69529
8,25,4,52,8,1,99694
4,46,2,38,6,9,72172
0,33,3,36,4,12,68653
18,47,1,53,5,4,94312
9,34,4,39,7,10,113031
11,44,3,38,8,14,106366
23,23,4,39,5,4,120420
14,50,2,53,2,19,111210
21,34,4,47,6,4,118370
23,32,4,50,9,6,144258
8,48,1,46,3,9,70469
19,49,3,43,7,1,114897
16,37,2,50,8,0,98822
16,41,1,48,6,19,116908
19,43,4,35,3,0,108654
11,40,1,54,1,3,76706
6,31,4,38,3,14,91256
1,54,2,43,6,14,77025
2,30,4,53,4,5,71983
16,30,1,48,1,5,81748
4,26,1,46,6,0,66560
16,44,4,38,1,6,105215
23,32,3,41,8,4,123384
16,43,1,51,3,16,112138
16,47,3,35,3,6,102995
1,26,3,48,1,3,45781
1,21,3,49,3,2,52622
21,26,3,46,7,11,123736
22,42,1,46,10,14,129957
4,44,1,40,8,19,93717
0,45,3,47,8,8,79251
0,35,1,50,3,11,54755
18,46,3,48,5,4,108413
1,28,3,41,1,7,66242
20,44,3,50,9,14,134252
11,26,4,43,8,6,114050
5,21,2,48,10,18,108071
22,32,1,41,2,12,119001
3,31,1,46,10,0,81713
22,32,3,37,1,10,105227
10,27,4,48,4,12,107788
23,31,4,53,9,1,142235
16,51,1,45,8,18,123044
5,53,3,39,3,10,80021
23,33,1,47,10,0,115577
4,38,3,44,6,0,66971
19,44,3,41,9,7,118904
1,29,2,51,10,12,84902
5,51,3,50,8,7,83560
21,30,2,42,10,1,133602
10,22,1,51,5,7,79889
15,35,1,47,9,13,120575
15,23,4,45,9,1,115514
0,51,2,54,3,12,72411
8,26,1,52,8,4,78508
5,23,2,39,4,0,60587
15,31,1,40,10,8,113784
2,35,2,54,7,19,97109
19,48,2,48,10,9,124002
3,30,3,46,8,10,87818
18,27,1,38,7,17,111627
2,35,4,41,5,16,82843
18,38,3,45,1,5,92728
19,38,4,54,8,10,132926
6,44,2,36,5,3,68828
19,22,3,38,3,0,107216
8,40,2,41,2,0,67958
0,54,1,35,3,17,58921
7,46,1,49,9,4,92805
6,27,4,54,2,15,86296
17,50,1,42,10,1,115426
7,25,4,39,1,8,81223
0,31,2,48,2,1,50127
10,21,3,52,2,4,85994
24,54,1,37,5,19,138664
24,21,2,36,1,16,121750
17,39,3,50,10,18,139713
22,22,2,48,8,9,124632
9,41,4,50,2,7,90327
2,40,2,45,6,19,78974
6,43,4,51,5,10,94852
15,41,4,37,2,12,105954
15,44,1,39,10,12,124310
24,24,4,37,1,8,128729
19,32,4,49,6,4,111403
16,42,2,39,6,17,127467
1,40,4,37,3,7,64844
0,38,4,40,8,19,93764
15,21,2,48,9,13,118687
11,50,3,36,3,1,83831
4,53,1,52,9,15,92676
4,44,2,40,8,0,75523
22,34,4,39,5,12,134126
8,25,2,48,6,17,96636
8,31,3,51,1,0,76363
2,44,2,45,5,6,71939
18,51,2,35,10,3,110464
15,33,2,44,10,9,118766
15,36,2,43,7,7,116385
2,44,4,54,1,2,53833
19,33,2,46,10,6,129122
23,44,3,35,9,15,146495
21,46,2,52,7,19,144753
23,22,2,46,4,9,122972
0,36,4,36,4,12,71540
23,21,4,35,10,0,141499
19,31,2,35,7,6,119478
10,49,4,35,6,9,111663
16,37,4,46,3,11,117308
7,48,2,41,9,13,105450
3,49,4,38,6,10,79203
5,23,1,54,2,16,67016
7,30,1,38,10,8,92304
19,34,1,49,2,7,91586
2,32,4,35,1,9,63708
15,50,1,40,5,3,84330
24,52,3,48,10,4,131649
2,52,1,48,6,17,72420
24,52,3,44,3,5,118236
17,46,4,41,4,9,122134
13,21,1,46,5,17,94159
17,22,3,53,4,10,110695
1,37,4,43,9,4,79077
21,50,1,37,3,2,96475
2,27,2,38,5,17,88780
15,47,1,47,7,3,98780
8,29,1,44,7,7,88882
3,42,1,48,6,16,74588
0,54,2,40,9,9,79024
3,21,3,42,7,18,102978
0,29,3,53,4,0,59304
13,40,2,44,10,1,95278
20,39,1,39,9,10,131619
15,24,1,39,6,14,106507
19,29,1,39,1,0,88504
23,42,3,43,9,8,147043
7,38,3,43,7,7,91660
6,32,2,49,6,0,73178
2,29,4,43,6,9,81688
16,26,2,48,4,16,105775
0,39,3,40,4,17,71256
15,27,1,54,3,15,93639
11,36,1,42,8,1,81227
18,25,1,36,8,16,129070
21,36,1,39,2,3,100262
22,21,4,51,5,6,123019
21,39,2,44,9,8,122968
13,37,2,48,9,2,107130
5,46,3,52,7,19,98604
5,42,2,35,4,4,72061
12,28,4,36,4,17,116527
18,53,4,38,10,16,143893
21,22,4,47,7,6,121514
7,50,1,50,3,13,74684
1,40,3,39,3,14,76678
20,38,4,44,5,13,135255
0,30,2,51,6,8,69117
14,44,2,45,8,15,108323
0,24,2,39,1,18,70821
4,24,4,49,7,0,80450
15,33,4,38,8,7,111934
18,45,2,41,5,17,116366
3,33,4,44,10,1,95283
2,38,2,38,2,3,46305
16,44,1,54,4,0,95452
16,22,4,39,6,18,123358
11,53,1,39,9,10,110727
13,39,1,45,2,5,71696
20,29,4,53,4,18,125733
5,48,2,39,10,13,101513
2,30,3,42,5,18,79178
8,21,1,41,8,12,97339
4,41,4,42,8,11,106181
23,29,1,47,2,9,100113
16,35,2,39,6,18,116151
13,25,4,52,6,10,104127
20,42,3,43,5,11,116792
2,43,4,36,8,6,78780
0,27,1,50,10,7,67332
19,43,4,48,2,16,121187
20,45,4,51,2,2,105513
22,47,1,40,7,5,110251
0,26,3,37,9,11,91459
2,54,2,51,3,14,78338
17,29,4,47,7,6,127616
24,53,3,40,3,5,115127
9,26,2,42,6,11,84587
21,51,1,40,3,11,119356
2,54,3,50,1,3,65909
7,49,3,40,6,8,98916
13,34,4,51,3,16,104297
23,35,1,37,1,1,101583
17,28,4,46,5,4,107825
14,46,1,40,8,9,105412
21,41,2,41,8,5,115980
22,48,4,45,8,5,140298
1,24,1,43,3,4,49703
9,36,1,50,8,7,98956
1,42,3,39,4,2,55932
16,32,4,49,8,13,130874
7,36,4,38,3,4,83923
0,49,2,39,3,14,69451
8,38,1,41,1,8,65025
10,30,3,37,8,14,113692
21,38,1,38,8,18,139779
15,21,1,49,9,15,115224
6,41,1,36,6,7,82709
9,21,4,39,2,14,89783
22,35,1,41,1,10,109113
2,24,2,51,8,3,64096
17,40,3,42,10,9,129571
24,30,3,43,4,9,135751
23,43,1,44,7,1,106675
12,54,3,45,10,7,107532
6,53,1,35,4,7,67798
24,54,4,49,1,8,116878
3,30,3,42,8,1,82327
12,40,4,53,10,13,123525
19,21,4,46,9,19,151133
0,33,2,40,10,1,65365
7,21,2,44,9,3,94947
13,25,3,39,9,2,109378
15,36,1,41,4,13,91029
13,35,1,41,9,15,120770
11,48,1,43,4,14,88973
18,51,1,49,2,6,90871
22,43,2,40,10,17,143318
14,37,1,50,3,19,95711
1,54,1,41,2,5,53702
1,33,4,49,1,15,67912
22,34,1,36,6,10,110717
21,31,1,42,4,1,97065
18,48,2,46,7,1,114241
24,52,3,45,7,13,132812
21,51,4,40,10,8,138535
21,37,4,54,1,11,123984
16,29,3,47,9,2,105157
19,30,4,50,8,4,123202
9,28,1,42,10,8,92636
5,41,1,51,1,2,62762
14,33,3,47,8,17,128671
21,25,2,38,5,1,104272
10,26,2,54,1,3,73467
4,50,4,44,4,12,81525
0,51,2,54,7,16,85692
7,37,2,50,5,8,77193
20,31,2,51,3,18,125448
11,40,2,42,4,13,85182
11,29,2,45,2,12,85866
4,22,2,39,8,4,86584
6,21,2,50,2,17,88442
3,24,4,42,6,14,95899
5,45,1,50,7,10,81564
12,23,2,38,7,18,120321
19,29,1,40,1,4,94789
14,42,3,42,8,6,116095
2,43,1,43,9,1,69616
22,32,3,47,7,18,141485
7,30,4,51,8,15,103827
19,54,1,43,4,2,106540
15,30,3,47,8,9,119019
12,50,1,43,3,11,91438
17,42,4,40,1,1,97571
9,26,1,44,8,7,80763
18,22,3,39,6,8,125233
16,50,2,41,9,19,133735
23,22,2,45,3,11,119110
18,52,2,43,8,4,111161
22,36,4,44,9,12,151778
4,32,2,45,9,4,91086
20,21,4,37,7,14,132606
22,28,2,42,10,4,125183
8,33,4,51,3,4,87626
11,35,4,41,3,3,89786
20,28,1,46,2,15,113574
0,30,2,50,1,17,55736
0,25,1,49,2,9,58551
14,39,3,47,5,19,124595
1,31,2,52,1,2,57377
21,40,2,52,10,9,131334
15,40,2,39,4,12,110637
24,41,2,48,10,2,140122
7,38,1,45,10,3,92812
12,30,1,37,1,12,82085
20,54,4,51,10,13,143755
0,46,1,46,8,3,63621
15,50,4,37,5,11,107186
6,29,3,36,10,15,105607
4,51,1,38,4,9,74921
21,24,4,52,3,19,129667
22,26,2,54,9,16,135088
2,34,3,48,6,6,78682
11,24,4,42,1,3,80992
15,46,3,36,8,11,114543
18,37,2,53,10,9,122091
4,39,2,44,2,1,49868
21,26,4,39,9,13,139338
24,49,4,45,7,7,133566
13,31,2,43,3,9,96540
4,36,4,50,4,5,68637
14,50,2,39,3,1,77841
16,45,1,49,6,13,110777
13,31,4,48,9,10,122638
19,27,3,43,10,1,122662
4,46,2,54,9,3,76402
11,42,1,39,1,5,69138
15,45,4,49,10,3,126090
15,39,2,43,6,4,109700
20,51,1,38,1,5,87710
6,46,4,38,4,8,93041
3,43,2,54,7,15,96121
0,33,2,41,4,10,70465
4,45,2,49,9,10,84989
22,22,4,51,10,9,142307
9,22,1,52,5,0,80392
21,36,2,41,9,16,133865
4,29,1,53,1,7,61204
3,48,1,44,4,15,66206
1,33,3,47,7,5,68614
19,33,1,36,2,13,96417
9,51,1,54,9,1,80372
18,41,1,45,3,8,102923
0,52,1,39,4,3,51703
23,54,1,40,4,18,130850
4,28,4,37,8,16,107176
12,22,3,35,2,0,88654
3,52,2,37,5,1,57514
15,48,3,37,2,16,112051
23,21,3,38,6,1,116415
15,30,2,41,9,2,103546
22,24,1,49,9,3,126354
1,30,2,45,1,12,59991
16,31,1,52,4,11,108815
19,34,2,46,4,4,102932
23,32,4,38,1,13,133064
11,37,3,45,10,5,118205
17,36,1,40,2,0,73875
2,22,3,53,6,15,81577
0,31,1,52,10,5,64801
0,23,2,49,3,12,68847
18,49,2,37,9,12,122889
10,38,2,51,3,10,76728
4,40,4,35,3,15,87629
11,34,2,36,9,13,104375
2,54,2,53,3,10,58423
0,51,4,43,6,4,81560
0,38,3,42,6,9,73960
7,50,3,46,1,14,78933
9,45,1,49,7,6,77947
10,39,3,41,9,2,100448
11,28,1,50,9,10,97074
12,48,1,41,9,8,97593
11,28,3,54,2,9,81212
13,51,3,46,1,3,93161
1,23,4,51,6,19,93186
18,23,1,45,6,17,112931
17,42,3,38,4,13,106837
2,37,3,53,8,8,79297
22,37,4,36,5,19,132845
16,34,3,36,7,15,121019
7,29,2,51,9,1,81591
9,50,2,43,1,6,64641
1,41,1,35,9,4,70957
18,32,4,44,4,16,133545
8,52,3,49,7,10,105328
6,31,1,49,4,3,65070
3,40,3,36,4,16,77619
20,31,2,48,4,4,102858
17,28,3,38,6,3,114081
12,24,3,52,5,9,103240
10,47,3,43,2,2,72238
23,50,2,36,9,5,131511
3,47,2,36,6,7,78475
24,41,4,52,10,4,150619
20,40,2,51,6,7,109050
24,24,1,43,9,9,131231
3,31,3,42,1,18,70354
9,33,2,36,7,3,83502
4,29,1,36,3,5,58691
8,24,2,39,4,2,76461
23,32,3,46,1,3,103492
2,29,1,50,3,3,55970
16,33,2,48,7,4,103519
2,46,2,54,6,14,81620
15,33,1,36,1,15,93121
3,48,4,42,9,5,89218
17,39,1,38,4,17,101708
16,44,1,54,7,11,108602
6,39,1,43,4,19,82975
23,33,1,54,7,6,119940
22,33,2,53,5,11,128226
4,48,1,36,1,13,58268
11,22,1,50,4,12,95200
16,30,3,45,3,10,105346
22,42,2,42,6,10,132059
12,33,3,46,6,1,95430
22,29,2,37,1,13,118439
24,53,4,47,2,14,142462
2,34,4,36,2,0,61477
8,40,2,47,10,11,95439
16,35,4,42,4,13,118970
16,52,4,49,9,17,144212
19,53,2,43,2,2,104415
15,37,1,45,8,11,110176
24,44,3,37,1,4,117284
21,50,2,41,8,2,112766
12,33,2,48,3,6,77050
18,36,2,49,5,15,118851
16,22,3,43,1,19,120075
3,37,2,54,1,16,72931
11,52,3,45,6,7,91044
8,28,3,41,3,14,87350
18,23,4,46,8,19,142564
11,32,1,53,4,14,86642
8,40,4,52,6,7,94994
6,36,2,47,10,10,90657
13,34,2,45,9,9,110293
19,36,3,35,8,17,127083
18,53,4,40,4,8,119782
14,50,3,36,10,15,133745
15,32,4,47,8,0,103016
20,35,4,47,7,5,121156
4,38,4,53,5,1,71285
2,48,4,43,7,12,84093
11,43,4,53,7,5,106933
24,34,1,35,10,8,137070
19,50,2,42,2,13,111240
20,53,4,48,7,6,131146
3,35,4,50,3,4,64091
20,27,3,38,8,6,117195
22,35,2,52,8,2,114256
15,31,2,48,9,12,115973
24,49,2,43,4,11,124284
6,51,4,49,10,5,97179
12,45,3,37,3,1,93586
20,44,2,38,9,14,123970
9,39,3,52,9,14,102038
6,22,1,48,2,17,81333
13,42,1,49,6,16,114646
4,40,3,42,3,2,74101
2,53,4,44,5,2,63687
22,28,2,46,2,8,106681
10,45,1,43,4,9,85235
10,29,1,42,3,11,76236
17,54,3,51,2,0,88036
14,43,4,43,6,3,107061
11,25,3,47,3,4,85149
8,45,3,48,4,16,91534
9,28,3,39,6,4,99885
11,36,3,43,5,3,89867
16,35,3,50,4,14,112291
5,21,4,53,4,9,77192
6,42,3,41,2,4,66281
13,23,4,46,10,13,134707
12,34,2,36,4,12,93120
7,38,2,52,8,18,100754
9,38,2,52,5,7,79548
8,23,2,50,10,11,106885
17,30,1,45,10,19,139425
1,21,4,36,8,18,93327
4,47,2,48,6,18,94358
4,47,1,38,10,5,76511
5,31,4,41,5,7,85950
18,25,1,36,4,9,111481
7,27,1,48,10,16,99093
15,39,3,41,9,0,111236
12,49,1,43,10,18,126318
0,35,1,42,5,11,71646
21,32,4,43,10,1,138376
19,50,1,41,6,16,111164
16,40,3,53,7,6,116037
6,23,2,51,1,13,73876
24,29,2,47,9,13,136305
12,46,4,45,8,11,121295
3,22,4,52,5,15,87412
3,43,1,51,3,17,62335
5,43,4,50,5,7,86432
18,41,1,44,5,1,90596
11,36,4,38,9,10,122513
21,29,2,38,7,0,121581
6,33,2,45,2,9,75450
9,48,2,42,5,17,95022
18,47,2,43,9,15,132203
6,37,1,50,2,1,56438
2,21,1,44,8,16,88384
12,38,1,43,3,15,83418
12,29,2,37,4,18,108368
17,33,3,36,2,4,99513
19,35,2,43,9,5,129932
7,24,2,47,6,16,93461
8,53,3,40,9,15,107160
6,44,3,38,8,15,100220
0,30,4,48,9,6,81843
2,40,2,45,5,15,79698
12,31,3,36,6,8,109624
24,32,4,37,7,5,138396
16,38,3,39,5,15,120402
24,50,3,41,1,8,122572
23,40,4,45,9,3,134518
0,45,2,46,2,5,48487
5,32,4,45,7,13,93875
20,41,2,53,8,2,108385
5,45,3,47,8,16,95516
11,31,4,38,1,10,94723
12,29,1,48,10,7,111813
12,45,3,46,7,7,101605
14,52,4,36,9,3,105770
20,34,3,42,3,14,114044
15,21,4,53,8,15,138355
21,37,2,47,8,10,134058
20,45,1,35,9,6,115175
10,28,3,39,8,17,122029
4,25,1,45,5,5,63769
3,25,2,45,5,3,65089
2,39,4,47,3,4,72539
18,43,1,36,6,2,96419
19,29,4,53,10,5,136432
24,50,2,50,3,13,114921
17,36,3,39,2,0,92760
14,53,2,48,7,19,117315
8,22,1,53,10,13,110316
16,34,1,39,3,5,85338
13,21,1,43,4,2,90951
14,46,4,46,10,16,134486
0,45,3,50,8,13,83436
20,36,1,53,1,18,103444
21,35,1,49,9,6,121603
21,46,1,51,6,10,118372
2,36,2,49,2,6,56694
15,34,1,37,3,12,89161
22,49,2,51,5,13,129834
24,44,1,47,6,10,125816
10,35,2,43,9,7,103551
11,39,4,47,2,11,87035
9,28,4,50,5,14,112562
15,54,2,53,7,9,101152
7,22,3,48,7,1,79455
5,47,3,42,4,12,75900
11,30,2,53,3,9,90199
23,43,4,37,8,16,145938
20,28,2,52,2,9,104588
7,48,3,50,5,5,92013
3,43,2,48,10,19,95432
7,24,4,50,5,0,89852
17,34,3,51,1,16,118609
4,49,3,54,7,0,84730
8,21,1,45,4,4,62549
3,24,1,47,10,14,90235
21,52,3,45,2,0,109549
16,53,3,38,8,16,127691
8,46,2,48,4,13,86095
0,37,4,39,1,12,60315
20,43,3,38,8,10,126956
19,52,4,35,7,11,141428
12,35,3,48,3,5,87579
15,33,4,41,3,10,106727
12,22,1,44,7,1,89909
13,39,3,36,2,17,113833
2,44,2,44,5,11,73777
5,44,4,37,7,14,108117
17,31,3,42,6,8,120972
18,42,1,44,10,7,108480
4,35,1,42,7,17,86094
14,30,1,48,2,15,96707
24,47,1,52,7,9,136695
1,29,3,43,2,11,76026
9,48,2,43,7,19,106222
23,21,4,38,8,11,136742
17,37,2,37,10,9,130971
12,51,4,48,8,13,121468
4,30,2,48,5,3,62160
22,49,3,50,7,14,135593
23,38,3,39,8,19,149374
0,26,4,54,4,8,78265
21,32,3,49,2,6,105410
0,34,4,43,7,6,81061
17,30,2,41,1,19,106073
14,40,3,47,2,8,94208
16,35,3,42,10,9,132500
10,51,4,46,7,19,120291
20,27,4,38,10,12,153747
24,30,4,50,1,5,110091
21,30,4,40,7,3,134160
16,48,1,39,5,16,100324
12,50,4,35,3,13,105082
0,23,1,48,2,2,34513
1,35,2,43,7,0,55472
8,41,4,52,9,17,118540
2,32,1,40,9,1,65967
0,24,1,49,10,7,68114
20,29,1,50,10,15,130661
15,48,3,42,8,3,107243
22,43,1,53,2,18,116547
5,42,4,39,1,19,90260
16,44,4,48,8,9,118636
4,46,4,41,2,16,87364
4,50,1,38,4,16,80788
5,53,1,35,4,6,64081
2,36,3,38,2,8,56283
20,42,2,48,4,6,101175
22,38,3,50,7,2,113703
4,27,4,41,6,11,93389
20,46,4,44,10,3,141936
4,28,4,44,6,16,107153
9,26,3,38,4,2,79809
9,50,4,46,2,10,84504
18,43,4,40,5,7,117852
16,52,4,47,3,1,97597
20,42,1,35,3,13,117014
13,29,2,42,4,3,83926
8,51,1,50,5,15,87386
13,27,1,39,2,13,86819
0,29,2,41,6,6,66751
18,33,2,37,6,9,119899
12,23,3,36,8,11,110625
12,53,2,36,2,7,85512
3,41,3,54,8,10,80218
0,51,3,44,8,19,82292
16,54,1,54,4,12,102874
7,52,4,43,7,11,110098
1,35,1,52,7,6,63729
7,52,1,40,1,11,71216
6,26,2,54,1,9,67336
1,41,2,40,8,6,69586
21,53,3,44,1,18,126512
21,52,3,43,3,6,112156
2,39,3,43,6,17,96456
17,53,2,37,8,11,118320
11,48,3,46,5,3,100646
0,51,3,45,5,0,64780
21,41,2,48,4,4,118594
11,54,4,53,4,9,98945
4,35,1,44,7,6,78653
24,34,2,53,6,19,139413
16,39,3,39,8,6,112833
15,35,1,43,6,12,107873
14,26,2,35,10,13,126083
22,29,1,49,7,4,122765
14,40,1,38,10,1,93862
4,54,4,41,10,13,111566
20,46,3,40,5,7,112658
13,38,2,49,6,19,110223
1,48,3,40,1,1,52258
10,29,4,41,3,7,83724
18,52,4,54,8,19,145969
6,26,2,37,3,4,58900
5,34,2,47,1,11,75499
1,48,4,36,3,6,68275
5,44,2,37,4,12,82342
17,33,1,47,8,14,123530
1,32,1,43,9,9,66343
17,39,4,53,4,3,116230
14,41,3,52,7,15,123627
18,47,2,39,1,6,89643
1,39,2,44,9,12,83380
19,44,1,48,4,3,92270
24,46,2,51,9,11,134348
5,48,3,37,3,19,79337
0,38,2,41,5,1,55157
23,49,2,43,1,4,107369
14,37,1,39,3,7,88056
22,24,2,38,5,3,108406
9,49,4,37,6,1,86543
18,24,4,47,8,5,128780
16,30,3,43,1,2,80515
4,45,3,41,3,13,86262
3,51,3,42,1,9,73137
9,23,3,44,5,10,104097
23,22,1,35,8,4,124660
16,45,2,54,4,15,116684
9,26,1,35,9,8,93008
16,46,3,53,6,15,117042
19,28,2,36,6,8,110166
23,47,4,46,5,16,131894
4,45,1,47,10,11,79528
1,38,2,48,5,14,70693
5,21,4,39,7,9,91433
20,23,4,37,8,3,131361
1,24,3,51,7,16,91882
12,35,4,35,1,17,107794
10,28,4,48,1,17,102283
10,39,3,40,10,9,118741
15,46,2,51,6,10,100624
10,30,2,38,3,0,68882
18,34,3,40,9,9,126520
14,39,1,35,7,2,92089
24,50,3,43,2,5,113782
22,25,2,38,3,16,128556
22,51,1,43,8,11,123498
15,27,3,43,1,10,94646
10,39,2,47,5,16,91010
21,51,2,51,10,2,122814
15,44,2,37,1,8,99329
7,54,4,40,9,17,123409
3,43,4,54,7,5,81841
7,26,1,49,5,2,60219
3,47,1,48,6,5,71891
23,31,1,47,3,10,119808
24,25,4,43,3,10,140747
2,37,1,49,7,6,68961
2,27,2,48,7,12,73786
17,47,2,38,7,12,111238
18,35,1,45,2,6,89934
18,33,1,36,2,13,102511
20,31,4,50,5,1,107069
4,46,2,53,4,2,72243
17,42,3,50,7,3,108884
9,48,3,41,3,7,81942
21,44,4,45,5,0,113929
20,49,4,46,2,8,106285
5,29,4,38,1,16,90457
0,24,2,50,9,17,82427
4,38,1,50,4,6,68197
8,36,1,41,8,2,89758
11,53,4,47,7,15,119719
13,49,2,39,1,7,83476
1,30,3,35,10,4,90001
16,29,4,39,7,16,125664
13,51,2,48,2,18,95215
12,48,4,45,3,17,116350
8,23,2,36,1,4,67457
24,34,2,52,7,6,130594
14,45,4,49,3,17,118024
24,35,1,48,6,12,119865
21,22,4,47,7,10,129848
14,44,1,36,3,4,77726
23,34,1,53,2,14,117005
10,27,3,42,9,6,109012
15,44,2,51,9,4,103310
16,47,4,49,7,6,127461
3,50,2,54,5,16,73100
0,47,3,48,4,8,63307
7,35,1,37,4,5,77624
16,46,4,51,1,8,109686
2,21,2,37,4,16,72455
19,24,3,47,7,1,109088
14,49,1,52,5,19,106947
14,21,1,35,9,12,108527
